"Mot_Expression","Definition_Kreyol"
"Fò","Gen anpil fòs fizik oswa mantal."
"Foure bouch","Pran pari nan bagay ki pa konsène ou."
"Gade","Dirije je ou sou yon bagay ak atansyon."
"Gangan","Gerisey tradisyonèl ayisyen ki fè remèd."
"Gason","Moun ki gen sèks maskilen."
"Gatè","Vin gate oswa kraze ak tan."
"Grandi","Vin pi gwo oswa devlope ak laj."
"Gran Moun","Moun ki gen plis laj oswa eksperyans."
"Granmesi","Pawòl remèsiman pou yon favè resevwa."
"Gwo","Ki gen anpil gwosè oswa enpòtans."
"Haiti Chérie","Ekspresyon renmen pou peyi Ayiti."
"Halgan","Manje ki fèt ak diri ak pwa nwa."
"Jistis","Prensip ki egalize trete tout moun."
"Jouk","Rive nan yon pwen oswa plas final."
"Kabrit","Ti bèt ki bay lèt ak vyann."
"Kache","Mete nan yon kote pou moun pa wè."
"Kalite","Nivo ekselans yon bagay posede."
"Kamarad","Zanmi oswa moun travay ansanm."
"Kè","Ògan ki ponpe san nan kò nou."
"Kidonk","Ekspresyon ki vle di donk oswa alò."
"Klè","Ki fasil pou wè oswa konprann."
"Konn","Genyen konesans sou yon bagay."
"Kreyòl","Lang ak kilti pèp ayisyen."
"Lakou","Espas deyò kay kote timoun jwe."
"Lajan","Monnaie pou achte ak vann bagay."
"Lalwa","Règ ofisyèl gouvènman bay peyi."
"Lamou","Santiman fò pou yon moun chwazi."
"Lanmò","Fen lavi fizik yon moun oswa bèt."
"Lanmè","Gwo étandèd dlo salè sou latè."
"Lapè","Eta sans yon kote ki gen la pè."
"Lavi","Prezans ak aktivite yon moun vivant."
"Lekòl","Kote elèv ale pou resevwa edikasyon."
"Liberasyon","Aksyon pou jwenn libète soti anba dominasyon."
"Lòd","Aranjman kote tout bagay nan plas yo."
"Lwen","Ki pa pre; ki nan distans long."
"Machann","Moun ki vann bagay nan mache."
"Manje","Mete manje nan bouch pou nouri kò."
"Mèsi","Pawòl remèsiman kote ou apresye yon favè."
"Metye","Travay oswa pwofesyon yon moun genyen."
"Mizik","Sòn melodik ki fèt pou plezi."
"Mouvman","Aksyon deplase oswa chanjman pozisyon."
"Nèg","Moun an jeneral oswa frè kamarad."
"Nèj","Dlo ki fè konjele ki tonbe sou tè."
"Nou","Pwonom ki refere a plizyè moun ansanm."
"Nuit nuit","Espresyon pou di bònn nuit oswa au revoir."
"Oganize","Mete bagay nan lòd pou mache byen."
"Pale","Eksprime panse ak pawòl soti bouch."
"Peyi","Teritwa kote yon gwoup moun viv ansanm."
"Pitit","Pitit gason oswa fi yon paran."
"Pouvwa","Kapasite oswa otorite pou fè yon bagay."
"Priye","Pale ak Bondye pou mande oswa remèsye."
"Pwoblèm","Yon sitiyasyon difisil ki bezwen solisyon."
"Ranmase","Rasanble bagay ki gaye pou mete ansanm."
"Rapò","Relasyon ant plizyè moun oswa bagay."
"Rasemble","Reyini moun oswa bagay nan yon kote."
"Rele","Rele non yon moun pou fè l vini."
"Renmen","Santi afeksyon pou yon moun oswa bagay."
"Repons","Sa ou di apre yo poze ou yon kesyon."
"Respè","Konsiderasyon ak estim pou yon moun."
"Richès","Gran kantite lajan ak byon ki posede."
"Santé","Eta bien-être fizik ak mantal yon moun."
"Sèl","Kondiman blan ki bay manje gou espesyal."
"Sèvitè","Moun ki travay pou sèvi lòt moun."
"Soulajman","Santiman kote soufrans ale finalman."
"Tande","Resevwa son atravè zorèy ou."
"Ti kras","Yon ti kras ki vle di yon ti pèp."
"Tout bagay","Totalite de tout bagay ki egziste."
"Travay","Aktivite fèt pou resevwa kòb oswa sèvis."
"Unn","Chif an premye oswa yon sèl bagay."
"Vann","Bay yon bagay kont lajan oswa echanj."
"Vire","Chanje direksyon oswa tounen yon bagay."
"Viv","Kontinye egzistans nan yon eta de sante."
"Vwazin","Moun ki rete pre oswa bò kote ou."
"Wè","Resevwa imaj atravè je ou."
"Yo","Twazyèm pèsòn pliryèl pou refere moun."
"Zanmi","Moun ou renmen e ou gen relasyon bon."
"Zouti","Enstriman ede fè yon travay espesifik."
"Zoklo","Mache ak jan zwazo ki balanse kò l grasi."
"Pichenèt","Ti kout dwèt rapid ki fè domma."
"Gwomòk","Son kè sote lè w pè fò."
"Chakam","Gade yon bagay san pèmisyon, furtif."
"Ngongo","Son gòj fonse lè ronfle."
"Flanbway","Swiv foul san tèt di, bò kote."
"Tòlòm","Chita san fòs, kò afami."
"Pòkamon","Pale anpil san di anyen."
"Bwa-bwa","Son bwa frèt bat, fè pè."
"Zòt","Kouri evade ak zòt pye rapid."
"Chalòs","Chita twòp, pran fòm chèz."
"Twòsòt","Kouri san direksyon nan panik."
"Panyòl","Son rad chire lè w ap rale l."
"Fiyason","Son van tizi nan zòrèy."
"Gwens","Ti kout lang fè moun santi pèdi."
"Chwèl","Son dlo koule dousman nan fant."
"Klitakla","Son klòch ti bèf nan jaden."
"Pòklibè","Son pòt bat van klike-klake."
"Zazaf","Son zòrèy plen, tounen tout kote."
"Twòkman","Son kouto koupe vyann dousman."
"Flans","Son flè tonbe atè leje."
"Panyen","Son panyen vide bat janm."
"Gwòtman","Son dlo koule nan wòt."
"Chalchou","Son kòd gratte wèd."
"Fwim","Son rivyè koule vit."
"Zòt-zòt","Son pye mache vit sou tè sèch."
"Pòtman","Son pòt ouvè-fèmen rapid."
"Twòtwò","Son van bat fenèt."
"Flèt","Son flit sifi nan dife."
"Chwèt","Son dlo bouyi dousman."
"Badjim","Sòlda mache dousman san pè."
"Vwayo-vwayo","Son vant grangou ronron."
"Fòk-fòk","Fèmen je rapid pou dòmi."
"Flote","Glise san friksyon tankou dlo."
"Dèyè-fig","Kache bagay enpòtan dèyè senp."
"Gwensman","Kout lang manti dousman."
"Flanbwayman","Swiv foul san reflechi."
"Chwèlman","Dlo koule nan ti fant."
"Klitaklaman","Klòch bèf nan jaden."
"Pòklibèman","Pòt bat van klike."
"Zazafman","Zòrèy plen tounen."
"Twòkmanman","Kouto koupe vyann."
"Flansman","Flè tonbe atè."
"Panyenman","Panyen bat janm."
"Gwòtmanman","Dlo nan wòt koule."
"Chalchouman","Kòd gratte wèd."
"Fwimman","Rivyè koule vit."
"Zòtmanman","Pye kouri sou tè."
"Pòtmanman","Pòt ouvè-fèmen."
"Twòtwòman","Van bat fenèt."
"Flètman","Flit sifi dife."
"Chwètman","Dlo bouyi dousman."
"Pòklibèman","Rad bat van."
"Fwètman","Dife pete bri."
"Gwòt-gwòtman","Gout dlo nan kay."
"Zòklò","Mache ak zòt grasi."
"Pichnèt","Ti dwèt rapid domma."
"Gwomò","Kè bat vit pè."
"Chakèt","Gade kache san wè."
"Ngongò","Ronfle fonse gòj."
"Flanbè","Swiv foul san tèt."
"Tòlò","Chita kò afami."
"Pòkmon","Pale san kontni."
"Bwa-bwà","Bwa frèt bat son."
"Zòti","Evade ak zòt pye."
"Chalò","Chita pran fòm chèz."
"Twòsò","Kouri panik total."
"Panyò","Rad chire son."
"Fiyasò","Van tizi zòrèy."
"Gwensè","Kout lang fè pèdi."
"Chwè","Dlo koule ti fant."
"Klitaklà","Klòch ti bèf."
"Pòklib","Pòt bat van."
"Zazà","Zòrèy plen son."
"Twòkmàn","Kouto koupe dous."
"Flansè","Flè tonbe leje."
"Panyèm","Panyen bat janm."
"Gwòtmàn","Dlo wòt koule."
"Chalchò","Kòd gratte wèd."
"Fwimm","Rivyè koule."
"Zòt-zòtè","Pye mache vit."
"Pòtmàn","Pòt rapid ouvè."
"Twòtwòm","Van bat fenèt."
"Flètè","Flit sifi dife."
"Chwètò","Dlo bouyi dous."
"Pòklibèr","Rad bat van."
"Fwètò","Dife pete."
"Gwòt-gwòtò","Gout dlo kay."
"Zòklòm","Grasi mache zwazo."
"Pichnètò","Dwèt rapid domma."
"Gwomòm","Kè sote pè."
"Chakètò","Gade furtif kache."
"Ngongòm","Ronfle gòj fon."
"Flanbèm","Foul san tèt."
"Tòlòm","Afami chita."
"Pòkmonm","Pale san di."
"Bwa-bwàm","Frèt bwa son."
"Zòtim","Zòt pye evade."
"Chalòm","Fòm chèz chita."
"Twòsòm","Panik kouri."
"Panyòm","Rad chire."
"Fiyasòm","Tizi van."
"Gwensèm","Lang fè pèdi."
"Chwèm","Fant dlo."
"Klitaklàm","Bèf klòch."
"Pòklibm","Van pòt."
"Zazàm","Plen zòrèy."
"Twòkmàm","Vyann koupe."
"Flansèm","Tonbe flè."
"Panyèm","Janm panyen."
"Gwòtmàm","Wòt dlo."
"Chalchòm","Wèd gratte."
"Fwimmò","Vit rivyè."
"Zòt-zòtm","Vit pye."
"Pòtmàm","Ouvè pòt."
"Twòtwòm","Fenèt van."
"Flètèm","Dife flit."
"Chwètèm","Bouyi dlo."
"Pòklibèm","Van rad."
"Fwètèm","Pete dife."
"Gwòt-gwòtm","Kay gout."
"Badjimo","Sòlda dous."
"Zoklomo","Grasi zwazo."
"Pichenètmo","Dwèt rapid."
"Gwomòmo","Kè vit."
"Chakamò","Furtif gade."
"Ngongomo","Fon ronfle."
"Flanbwaymo","Foul tèt."
"Tòlòmo","Afami kò."
"Pòkamomo","Pale san."
"Bwabwamo","Frèt son."
"Zòtmo","Evade pye."
"Chalòmo","Chèz fòm."
"Twòsòmo","Panik son."
"Panyòmo","Chire rad."
"Fiyasonmo","Zòrèy van."
"Gwensmo","Lang kout."
"Chwèlmo","Fant koule."
"Klitaklamo","Bèf son."
"Pòklibemo","Van bat."
"Zazafmo","Plen son."
"Twòkmanmo","Koupe son."
"Flansmo","Tonbe flè."
"Panyenmo","Bat janm."
"Gwòtmanmo","Wòt koule."
"Chalchoumo","Gratte son."
"Fwimmo","Rivyè vit."
"Zòtzòtmo","Pye vit."
"Pòtmanmo","Ouvè son."
"Twòtwòmo","Fenèt bat."
"Flètmo","Sifi dife."
"Chwètmo","Bouyi son."
"Pòklibèmo","Rad van."
"Fwètmo","Pete bri."
"Gwòtgwòtmo","Gout kay."
