"Question","Reponse_Correcte","Choix_2","Choix_3","Choix_4","Categorie","Difficulte"
"Quel joueur a remporté le plus de Ballons d'Or ?","Lionel Messi","Cristiano Ronaldo","Ronaldinho","Zinédine Zidane","Sports","potentiel"
"Quel pays a inventé les Jeux Olympiques ?","La Grèce","Rome","L'Egypte","La Perse","Sports","debutant"
"En quelle année a eu lieu le premier film sonore ?","1927","1920","1932","1915","Sciences & Technologie","legende"
"Qui a inventé le téléphone ?","Alexander Graham Bell","Thomas Edison","Nikola Tesla","Guglielmo Marconi","Sciences & Technologie","potentiel"
"Qui a inventé l'ampoule électrique ?","Thomas Edison","Nikola Tesla","Graham Bell","James Watt","Sciences & Technologie","potentiel"
"Quelle entreprise a créé l'iPhone ?","Apple","Samsung","Nokia","Motorola","Sciences & Technologie","debutant"
"Qui a fondé Microsoft ?","Bill Gates","Steve Jobs","Elon Musk","Mark Zuckerberg","Sciences & Technologie","debutant"
"Qui a fondé Tesla ?","Elon Musk","Bill Gates","Jeff Bezos","Larry Page","Sciences & Technologie","debutant"
"Quelle est la monnaie du Japon ?","Le yen","Le yuan","Le won","Le baht","Géographie","potentiel"
"Quelle est la monnaie d'Haïti ?","La gourde","Le dollar","Le franc","Le peso","Géographie","debutant"
"Quel est le symbole chimique du fer ?","Fe","Fr","Ir","Fn","Sciences","potentiel"
"Quelle est la distance Terre-Lune (approx.) ?","384 000 km","100 000 km","500 000 km","1 000 000 km","Sciences","legende"
"Quelle est la capitale de Malte ?","La Valette","Mdina","Gozo","Sliema","Géographie","potentiel"
"Quelle est la capitale de la Turquie ?","Ankara","Istanbul","Izmir","Bursa","Géographie","debutant"
"Quelle est la capitale de la Géorgie ?","Tbilissi","Batoumi","Koutaisi","Roustavi","Géographie","potentiel"
"Quelle est la capitale de l'Arménie ?","Erevan","Gyumri","Vanadzor","Abovyan","Géographie","legende"
"Quelle est la capitale de l'Azerbaïdjan ?","Bakou","Gandja","Lankaran","Sheki","Géographie","legende"
"Quel est le plus haut sommet des Alpes ?","Mont Blanc","Matterhorn","Eiger","Jungfrau","Géographie","debutant"
"Quelle ville est divisée par le Danube ?","Budapest","Belgrade","Vienne","Bratislava","Géographie","potentiel"
"Quel pays a deux capitales officielles ?","Afrique du Sud","Bolivie","Bénin","Honduras","Géographie","legende"
"Quelle est la langue principale de la Finlande ?","Finnois","Suédois","Russe","Estonien","Géographie","potentiel"
"Quel canal relie la mer Baltique à la mer du Nord ?","Kiel","Suez","Panama","Corinthe","Géographie","potentiel"
"Quelle est la capitale de l'Islande ?","Reykjavik","Akureyri","Kopavogur","Hafnarfjordur","Géographie","debutant"
"Combien d'étoiles sur le drapeau européen ?","12","15","27","28","Géographie","debutant"
"Quelle mer sépare l'Italie de la Grèce ?","Adriatique","Méditerranée","Égée","Ioniens","Géographie","potentiel"
"Quel pays scandinave n'est pas dans l'UE ?","Norvège","Suède","Danemark","Finlande","Géographie","potentiel"
"Quelle est la plus grande île de Méditerranée ?","Sicile","Sardaigne","Chypre","Crète","Géographie","debutant"
"Quelle ville abrite le CERN ?","Genève","Lausanne","Zurich","Bâle","Sciences","potentiel"
"Quel traité fonda la CEE en 1957 ?","Rome","Maastricht","Lisbonne","Paris","Histoire","potentiel"
"Qui fut empereur germanique couronné en 800 ?","Charlemagne","Otto Ier","Louis le Pieux","Henri l'Oiseleur","Histoire","legende"
"Quelle bataille vit la défaite de Napoléon en 1812 ?","Borodino","Waterloo","Leipzig","La Moskova","Histoire","potentiel"
"Quand débuta la Guerre de Cent Ans ?","1337","1415","1453","1346","Histoire","potentiel"
"Qui unifia la Prusse au XIXe siècle ?","Bismarck","Guillaume Ier","Moltke","Roon","Histoire","legende"
"Quelle reine anglaise succéda à Henri VIII ?","Élisabeth I","Marie I","Anne","Victoria","Histoire","potentiel"
"Quel roi fonda la dynastie capétienne ?","Hugues Capet","Robert le Pieux","Philippe Ier","Louis VI","Histoire","legende"
"Quand fut signé le traité de Westphalie ?","1648","1555","1618","1685","Histoire","potentiel"
"Où se déroula la bataille de Marathon ?","Grèce","Turquie","Italie","Égypte","Histoire","potentiel"
"Quel pape couronna Charlemagne ?","Léon III","Grégoire VII","Innocent III","Urbain II","Histoire","legende"
"Quelle est la vitesse de rotation de la Terre ?","1670 km/h à l'équateur","1000 km/h","2000 km/h","800 km/h","Espace","potentiel"
"Quelle est la période de révolution de la Terre ?","365,25 jours","366 jours","364 jours","360 jours","Espace","debutant"
"Combien pèse la Lune ?","7,34 × 10²² kg","1 × 10²³ kg","5 × 10²² kg","10 × 10²² kg","Espace","legende"
"Quelle est la température au cœur du Soleil ?","15 millions °C","1 million °C","50 millions °C","100 millions °C","Espace","potentiel"
"Quel est le diamètre de Jupiter ?","142 984 km","120 000 km","160 000 km","100 000 km","Espace","potentiel"
"Quelle sonde étudie actuellement Europe ?","Europa Clipper","Juno","Cassini","Galileo","Espace","legende"
"Quel phénomène cause les saisons ?","Inclinaison de l'axe terrestre","Distance au Soleil","Vitesse de rotation","Forme elliptique","Espace","potentiel"
"Quelle est la principale composante de Vénus ?","CO2","N2","O2","Ar","Espace","potentiel"
"Combien de temps met la lumière pour atteindre la Terre ?","8 minutes","4 minutes","12 minutes","20 minutes","Espace","debutant"
"Quel est le nom du rover chinois sur la Lune ?","Yutu","Chang'e","Zhurong","Tianwen","Espace","legende"
"Quelle est la distance Terre-Mars minimale ?","54 millions km","78 millions km","100 millions km","225 millions km","Espace","potentiel"
"Quel organe humain régénère le plus vite ?","Foie","Peau","Sang","Os","Corps Humain","potentiel"
"Combien de bactéries dans l'intestin humain ?","100 000 milliards","1 milliard","10 milliards","1 trillion","Corps Humain","legende"
"Quelle est la vitesse de régénération des ongles ?","3 mm/mois","1 mm/mois","5 mm/mois","10 mm/mois","Corps Humain","potentiel"
"Quel os est le plus long du corps ?","Fémur","Tibia","Humerus","Péroné","Corps Humain","debutant"
"Combien de fois le cœur bat-il par an ?","100 millions","50 millions","200 millions","35 millions","Corps Humain","potentiel"
"Quelle hormone cause l'amour ?","Ocytocine","Dopamine","Sérotonine","Adrénaline","Corps Humain","potentiel"
"Combien pèse le cerveau humain adulte ?","1,4 kg","2 kg","1 kg","1,8 kg","Corps Humain","debutant"
"Quelle est la capacité pulmonaire moyenne ?","6 litres","4 litres","8 litres","2 litres","Corps Humain","potentiel"
"Quel est le pH du sang humain ?","7,4","7,0","7,8","6,9","Corps Humain","legende"
"Combien de goût perçoit la langue ?","5","4","6","7","Corps Humain","potentiel"
"Quelle est la capitale du Vietnam ?","Hanoï","Saigon","Da Nang","Hue","Géographie","potentiel"
"Quel est le plus grand delta du monde ?","Gange-Brahmapoutre","Nil","Mississippi","Mékong","Géographie","potentiel"
"Quelle est la capitale de la Thaïlande ?","Bangkok","Chiang Mai","Pattaya","Phuket","Géographie","debutant"
"Quel pays a le plus de fuseaux horaires ?","France","Russie","USA","Australie","Géographie","legende"
"Quelle est la capitale de la Nouvelle-Zélande ?","Wellington","Auckland","Christchurch","Dunedin","Géographie","potentiel"
