"Mot_Expression","Definition_EN"
"Throw in the towel","Give up or admit defeat on something."
"Time flies","Time passes much more quickly than expected."
"Under the weather","Feeling ill or not quite yourself today."
"Up in the air","Uncertain or not yet decided yet."
"Walk on eggshells","Be very careful not to upset someone."
"Wrap your head around","Understand something complex or difficult."
"You can't judge a book by its cover","Don't judge based only on appearance."
"Team Synergy","Collaboration producing results beyond individual efforts."
"Stakeholder Buy-in","Commitment from key interested parties."
"Action Item","Specific task assigned with deadline."
"Follow-up","Review progress on previous commitments."
"Next Steps","Immediate actions following meeting."
"Parking Lot","Off-topic items for later discussion."
"Low-hanging Fruit","Easiest quickest wins available."
"Quick Win","Immediate success building momentum."
"Deep Dive","Thorough detailed investigation."
"High-level Overview","Summary without technical details."
"Bandwidth","Available capacity for additional work."
"Touch Base","Brief informal status check."
"Circle Back","Return to topic later."
"Move the Needle","Produce meaningful measurable impact."
"Boil the Ocean","Impossible overly broad scope."
"Drink the Kool-Aid","Blind acceptance without questioning."
"Herding Cats","Managing uncoordinated independent people."
"Elevator Pitch","30-second compelling summary."
"Back to Basics","Return fundamental principles."
"Think Outside the Box","Creative non-traditional approach."
"Bang for the Buck","Maximum value minimum investment."
"Keep Me in the Loop","Maintain communication updates."
"Ping Me","Send quick message or notification."
"Take Offline","Handle separately from group discussion."
"Run It Up the Flagpole","Test idea get reactions."
"Paradigm Shift","Fundamental change underlying assumptions."
"Game Changer","Transformative significant impact."
"Best Practice","Industry standard proven method."
"Lessons Learned","Knowledge gained from experience."
"Continuous Improvement","Ongoing incremental enhancements."
"Stretch Goal","Ambitious target beyond baseline."
"SMART Goal","Specific Measurable Achievable Relevant Time-bound."
"Bellwether","Leading indicator future trends."
"Canary in Coal Mine","Early warning sign problems."
"Tip of the Iceberg","Small visible part larger issue."
"Perfect Storm","Multiple factors creating crisis."
"Rise to the Occasion","Perform exceptionally pressure."
"Bear with Me","Request patience during explanation."
"Get the Ball Rolling","Initiate start momentum."
"Hit the Ground Running","Start immediately full speed."
"Rein in","Control limit excessive behavior."
"Get Up to Speed","Become current informed."
"Play Hardball","Aggressive uncompromising approach."
"Pull Out All the Stops","Maximum complete effort."
"Put All Eggs in One Basket","Risk concentration single option."
"Burn Bridges","Irreversible break relationships."
"Cross That Bridge When Come To It","Handle future problems later."
"Barking Up Wrong Tree","Pursuing wrong incorrect approach."
"Beat Dead Horse","Discuss settled pointless issue."
"Between Rock Hard Place","Difficult choice bad options."
"Bite More Chew","Overcommit beyond capacity."
"Blood Sweat Tears","Maximum exhaustive effort."
"Burning Question","Critical urgent issue."
"Call Shots","Make final decisions."
"Cash Cow","Reliable steady revenue source."
"Change Tides","Alter situation direction."
"Chase Tail","Waste time unproductive activity."
"Climb Corporate Ladder","Advance career hierarchy."
"Close Ranks","Unite against external threat."
"Come Hell High Water","No matter difficulties."
"Cut Corners","Reduce quality save effort."
"Cut Losses","Abandon failing investment."
"Cut Mustard","Meet minimum requirements."
"Dark Horse","Unexpected successful competitor."
"Devil Details","Critical important small things."
"Different Animal","More complex challenging."
"Dog Eat Dog","Highly competitive ruthless."
"Don't Count Chickens","Avoid premature celebration."
"Down the Wire","Decided final moments."
"Draw Line Sand","Set firm boundary."
"Drink from Fire Hose","Overwhelming information volume."
"Drop Ball","Fail complete responsibility."
"Eat Cake","Enjoy luxury crisis."
"Elephant Room","Obvious ignored problem."
"Everything but Kitchen Sink","Almost everything possible."
"Fall Between Cracks","Overlooked neglected."
"Few Bad Apples","Most good few problematic."
"Fight Good Fight","Persistent moral effort."
"Find Footing","Establish stability confidence."
"Flash in Pan","Brief short-lived success."
"Flesh Blood","Real human genuine."
"Fog War","Confusion uncertainty conflict."
"Follow Money","Track financial motivations."
"For What It's Worth","Opinion offered cautiously."
"From Rags Riches","Extreme upward mobility."
"Get Cold Feet","Lose courage last minute."
"Get Foot Door","Secure initial access."
"Get Head Above Water","Escape overwhelming pressure."
"Get Wind Something","Learn rumor information."
"Gild Lily","Unnecessary excessive decoration."
"Go Extra Mile","Exceed minimum requirements."
"Go Great Lengths","Extreme measures achieve goal."
"Go Out Limb","Risky unsupported position."
"Good Bad Ugly","Complete range outcomes."
"Good Fence Good Neighbors","Boundaries maintain harmony."
"Good Things Come Small Packages","Value not size dependent."
"Good Time Had All","Everyone enjoyed thoroughly."
"Grab Bull Horns","Confront problem directly."
"Grasp Nettle","Tackle unpleasant task."
"Grass Greener Other Side","Others situation better."
"Greek You","Incomprehensible confusing."
"Great Minds Think Alike","Shared intelligent thinking."
"Green Eyed Monster","Jealousy envy."
"Grey Area","Unclear ambiguous situation."
"Hail Mary Pass","Desperate last-chance effort."
"Hand Mouth","Barely sufficient resources."
"Hang Hat","Establish belong somewhere."
"Haste Makes Waste","Rushing creates problems."
"Have Cake Eat Too","Impossible contradictory desires."
"Head Count","Number employees personnel."
"Head Honcho","Person authority charge."
"Heap Praise","Excessive strong compliments."
"Heart Sleeve","Open honest emotions."
"Hell Wheels","Fast furious pace."
"Hidden Agenda","Secret true intentions."
"Hit Ground Running","Start immediately effectively."
"Hit Nail Head","Exactly correct precise."
"Hold Horses","Wait be patient."
"Hole Picture","Missing key information."
"Honest Days Work","Full productive effort."
"Horse Different Color","Separate unrelated issue."
"Hours Daze","Overworked exhausted state."
"House Cards","Fragile unstable structure."
"Iceberg Tip","Small visible part larger."
"If Something Can Go Wrong Will","Murphy's Law."
"Icing Cake","Nice additional bonus."
"In Boat Together","Shared fate mutual interest."
"In Loop","Informed included updates."
"In Same Boat","Shared difficult situation."
"In Stone","Final unchangeable decision."
"Into Thin Air","Disappear completely."
"It's Rocket Science","Very difficult complex."
"Jack All Trades","Versatile multiple skills."
"Juggle Priorities","Manage competing demands."
"Jump Gun","Start too early prematurely."
"Jump Ship","Abandon leave suddenly."
"Jump Through Hoops","Excessive complicated process."
"Keep Eye Ball","Close careful monitoring."
"Keep Feet Ground","Stay realistic practical."
"Keep Finger Pulse","Stay current trends."
"Keep Head Above Water","Survive barely manage."
"Keep Nose Clean","Avoid trouble behave."
"Keep Powder Dry","Stay prepared ready."
"Kick Tires","Preliminary basic inspection."
"Kill Golden Goose","Destroy profitable source."
"Kiss Frogs","Endure failures find success."
"Knee Jerk Reaction","Instinctive unthinking response."
"Knock Off Socks","Extremely impressive amazing."
"Knock Wood","Superstitious luck wish."
"Labor Love","Work done passion."
"Lap Luxury","Life extreme comfort."
"Last Straw","Final incident breaking point."
"Laugh Way Bank","Easy substantial profit."
"Lay Cards Table","Be completely honest."
"Lay Groundwork","Prepare foundation success."
"Lead Horse Water","Can't force motivation."
"Learn Ropes","Master basics new job."
"Leave Hanging","Fail complete obligation."
"Left Field","Completely unexpected."
"Legend His Time","Outstanding excellent past."
"Let Cat Out Bag","Reveal secret prematurely."
"Let Slide","Ignore fail address."
"Lick Wounds","Recover defeat setback."
"Light End Tunnel","Hopeful sign nearing end."
"Lightning Bolt","Sudden dramatic change."
"Like Fish Water","Perfectly comfortable suited."
"Like Shooting Fish Barrel","Extremely easy task."
"Line Item Veto","Reject specific parts."
"Lion's Share","Largest portion majority."
"Lip Service","Empty insincere words."
"Listen Deaf Ear","Ignore refuse hear."
"Little Bird Told Me","Information from anonymous."
"Lives Sword Edge","Constant danger risk."
"Long Short","Summary key points."
"Long Story Short","Concise version events."
"Look Gift Horse Mouth","Question free gift."
"Loose Cannon","Unpredictable dangerous person."
"Low Man Totem Pole","Lowest organizational position."
"Mad Dash","Frantic hurried effort."
"Make Hay Sun Shines","Seize current opportunity."
"Make Work","Unnecessary pointless tasks."
"Man Street","Average ordinary person."
"March Time","Progress steadily forward."
"Mark Territory","Establish personal authority."
"Meet Halfway","Compromise shared solution."
"Mess Hands","Difficult unpleasant situation."
"Mind Up","Firmly decided committed."
"Miss Boat","Lose opportunity too late."
"Moment Truth","Critical decisive moment."
"Money Talks","Financial power influence."
"Monkey Business","Silly improper behavior."
"More Often Than Not","Usually typically."
"Moron Fringe","Extreme unreasonable position."
"Mother Lode","Large rich source."
"Move Mountains","Overcome major obstacles."
"Much Ado About Nothing","Exaggerated trivial issue."
"My Two Cents","Personal humble opinion."
"Nail Coffin","Final damaging act."
"Necessary Evil","Unpleasant required action."
"Nest Egg","Savings future security."
"Never Say Die","Persistent never give up."
"Nine Days Wonder","Brief temporary attention."
"Nine Lives","Multiple chances survive."
"Nose Job","Cosmetic superficial change."
"Not Rocket Science","Relatively simple easy."
"Nothing Burger","Insignificant trivial matter."
"Off Tangent","Irrelevant unrelated topic."
"Off Wagon","Relapse abandon improvement."
"Old Hat","Familiar outdated knowledge."
"On Board","Agree support initiative."
"On Fence","Undecided neutral position."
"On Same Page","Shared understanding agreement."
"On Thin Ice","Precarious risky situation."
"Once Lifetime","Rare unique opportunity."
"One Bad Apple","Single corruptive influence."
"One Foot Grave","Seriously ill dying."
"One Horse Town","Small insignificant place."
"One Man Band","Person doing everything."
"One Trick Pony","Limited single capability."
"Open Door","Welcoming accessible policy."
"Out Gate","Initial early stages."
"Out Limbo","Resolved uncertain state."
"Out Loop","Excluded uninformed."
"Out Pocket","Unexpected additional expense."
"Out Reckoning","Beyond expectation prediction."
"Out Right Field","Completely unreasonable."
"Over Hump","Past difficult part."
"Pain Point","Problem causing frustration."
"Paper Tiger","Seemingly powerful weak."
"Par Course","Typical expected normal."
"Pay Dues","Earn through experience."
"Pay Pipe","Highest organizational level."
"Pay Through Nose","Pay excessive high price."
"Peanut Gallery","Critics without responsibility."
"Pearls Before Swine","Wisdom wasted inappropriate."
"Penny Saved Penny Earned","Frugal careful spending."
"Perfect Storm","Ideal conditions success."
"Pick Low-hanging Fruit","Easiest immediate gains."
"Piece Cake","Very easy simple."
"Piece Mind","Honest direct criticism."
"Pig Latin","Incomprehensible jargon."
"Pile Work","Accumulated backlog tasks."
"Pink Slip","Termination employment notice."
"Pipe Dream","Unrealistic impractical fantasy."
"Play Ball","Cooperate follow rules."
"Play Favorites","Show unfair preference."
"Play Games","Deceive manipulate insincerely."
"Play Hardball","Aggressive tough tactics."
"Point No Return","Irreversible committed action."
"Pour Cold Water","Discourage dampen enthusiasm."
"Power Position","Advantageous influential place."
"Power Vacuum","Lack leadership authority."
"Practice What Preach","Consistent personal example."
"Preaching Choir","Unnecessary persuade convinced."
"Prescription Without Diagnosis","Solution without understanding."
"Price Tag","Actual true cost."
"Primrose Path","Easy pleasant danger."
"Pulled Punches","Less forceful restrained."
"Pulled String","Use influence connections."
"Pulled Together","Organized coherent unified."
"Pure Gold","Excellent superior quality."
"Put Best Foot Forward","Make excellent first impression."
"Put Cards Face Up","Complete complete honesty."
"Put Foot Mouth","Say something inappropriate."
"Put Lid It","End stop situation."
"Put Money Where Mouth","Back words with action."
"Put Out Feelers","Test reactions discreetly."
"Put Two Two","Draw obvious conclusion."
"Pyrrhic Victory","Win too costly."
"Raise Bar","Increase standards expectations."
"Raining Cats Dogs","Heavy continuous rain."
"Rank File","Regular ordinary members."
"Rare Bird","Unusual exceptional person."
"Read Riot Act","Stern formal warning."
"Read Tea Leaves","Interpret predict future."
"Rear Guard Action","Delay inevitable outcome."
"Red Flag","Warning danger sign."
"Red Herring","Irrelevant distracting point."
"Rein Horses","Slow down moderate pace."
"Reinvent Wheel","Unnecessarily recreate existing."
"Remain Seen","Future outcome uncertain."
"Rest Assured","Confidence complete certainty."
"Ride Coat Tails","Benefit others effort."
"Ride High","Peak success popularity."
"Rigged Game","Unfair predetermined outcome."
"Ring Bell","Raise alarm warning."
"Rise Above","Overcome transcend problem."
"Rise Falls","Determine ultimate success."
"Road Map","Strategic plan path."
"Rock Star","Outstanding exceptional talent."
"Rogues Gallery","Group questionable characters."
"Rome Wasn't Built Day","Significant takes time."
"Root Problem","Fundamental underlying cause."
"Rough Diamond","Hidden unrecognized talent."
"Ruffle Feathers","Cause controversy upset."
"Rule Thumb","General useful guideline."
"Run Gauntlet","Face series difficulties."
"Run Hot Cold","Inconsistent unreliable performance."
"Run Numbers","Perform financial calculations."
"Running Scared","Acting fear motivated."
"Rush Blood Head","Act impulsively emotionally."
"Sacred Cow","Untouchable immune criticism."
"Salt Wound","Worsen painful situation."
"Same Old Story","Predictable repeated pattern."
"Scapegoat","Blamed others fault."
"Scared Stiff","Paralyzed extreme fear."
"School Hard Knocks","Difficult life experience."
"Score Settle","Exact revenge retaliation."
"Scratch Back","Mutual favor exchange."
"Scream Bloody Murder","Loud vigorous complaint."
"Second Bite Cherry","Second chance opportunity."
"Second Fiddle","Subordinate less important."
"Second Guess","Question doubt decision."
"Second Nature","Natural habitual instinct."
"Second Wind","Renewed energy strength."
"See Light","Understand realize truth."
"See Stars","Dazed confused impact."
"Seen Better Days","Past prime deteriorated."
"Seize Day","Take immediate advantage."
"Send Packing","Dismiss reject abruptly."
"Separate Men Boys","Distinguish capable incapable."
"Set Record Straight","Correct misinformation."
"Set Stage","Prepare conditions success."
"Set World Fire","Outstanding spectacular."
"Sew Seeds","Establish foundation future."
"Shake Tree","Stimulate produce results."
"Shape Up Ship Shape","Organized efficient orderly."
"Sharp End","Most difficult demanding."
"Sheep's Clothing","Deceptive innocent appearance."
"Shell Game","Deception confidence trick."
"Shibboleth","Custom belief distinguishing."
"Ship Shape","Perfectly organized efficient."
"Shoot Breeze","Casual informal conversation."
"Shoot Messenger","Punish bearer bad news."
"Short End Stick","Disadvantage unfair deal."
"Shoulder Responsibility","Accept full accountability."
"Shovel Ready","Immediately executable prepared."
"Show Hand","Reveal true intentions."
"Show Stopper","Critical blocking issue."
"Shrinking Violet","Excessively shy retiring."
"Shut Mouth","Stop talking abruptly."
"Sick Puppy","Pathetic sad condition."
"Sideline","Exclude prevent participation."
"Sight Sound","Completely disappeared."
"Sign Times","Indicative broader trend."
"Silver Bullet","Simple complete solution."
"Silver Lining","Positive aspect difficulty."
"Sing Blues","Complain express dissatisfaction."
"Sink Ship","Critical destructive act."
"Sitting Ducks","Easy vulnerable targets."
"Skeleton Closet","Embarrassing hidden secret."
"Skin Teeth","Barely successful narrow."
"Slap Forehead","Obvious simple realization."
"Slap Wrist","Mild token punishment."
"Sleep Dogs","Avoid stirring trouble."
"Slice Pie","Share divide resources."
"Slippery Slope","Progressive worsening situation."
"Smoke Mirrors","Deception false appearance."
"Snake Oil","Worthless fake remedy."
"Snow Job","Deceptive persuasive talk."
"So Far Good","Progress without problems."
"Sod Busters","Difficult challenging work."
"Softer Side","Human emotional aspect."
"Solid Gold","Excellent superior quality."
"Song Dance","Excessive elaborate explanation."
"Sour Grapes","Disparage unobtainable desire."
"Speak Mind","Express honest opinion."
"Speak Tongue","Same language understand."
"Speed Bump","Minor temporary obstacle."
"Spelling Bee","Competitive test knowledge."
"Spice Life","Variety excitement diversity."
"Spill Guts","Reveal all information."
"Spin Doctor","Manipulate control narrative."
"Spit Polish","Superficial cosmetic improvement."
"Splash Make","Attention creating impact."
"Spoil Broth","Too many interfere."
"Sponge Worth","Absorb learn everything."
"Spoon Fed","Excessive detailed instruction."
"Spread Wings","Expand capabilities scope."
"Squeaky Wheel","Persistent complaint attention."
"Squeeze Blood Turnip","Impossible extract nonexistent."
"Squirrel Away","Save accumulate secretly."
"Stack Deck","Rig fix outcome."
"Stake Heart","Critical fatal blow."
"Stand Ground","Maintain position conviction."
"Stand Pat","Refuse change maintain."
"Star Alignment","Perfect timing conditions."
"State Union","Current condition summary."
"Status Quo","Current existing situation."
"Steamroll","Force through opposition."
"Steer Clear","Avoid stay away."
"Step Dance","Cautious tentative action."
"Step Stone","Temporary progress stage."
"Stick Carrot","Incentive motivation tactic."
"Stick Guns","Persist maintain position."
"Stick Neck Out","Take risk exposure."
"Stiff Upper Lip","Courageous calm adversity."
"Still Waters","Hidden deep problems."
"Stitch Time","Preventive early action."
"Stop Clock","Delay halt progress."
"Straight Arrow","Honest ethical person."
"Straight Face","Serious sincere expression."
"Strain Gnat","Overreact trivial issue."
"Stream Consciousness","Unedited spontaneous thought."
"Street Smart","Practical real-world savvy."
"Stretch Truth","Exaggerate mild deception."
"Strike Gold","Major lucky success."
"Strike Iron Hot","Seize timely opportunity."
"String Along","Deceive maintain false hope."
"Strong Silent Type","Quiet dignified demeanor."
"Struggle Play","Difficult challenging situation."
"Stump Speech","Standard rehearsed talk."
"Sunshine Patriot","Fair-weather conditional."
"Super Size","Make larger excessive."
"Sure Thing","Certain guaranteed outcome."
"Sweet Spot","Perfect optimal condition."
"Swing Weight","Influence decision power."
"Swinging Door","Constant change movement."
"Take Cake","Easily surpass exceed."
"Take Cake","Easily win dominate."
"Take Cake","Superior excellent quality."
"Take Long View","Strategic future perspective."
"Take Rain Check","Postpone accept later."
"Take Stand","Publicly declare position."
"Take Sting Out","Mitigate soften impact."
"Take Cake","Easily achieve win."
"Take Cake","Win competition easily."
"Tall Order","Difficult demanding request."
"Taste Own Medicine","Experience own treatment."
"Tear Hair Out","Extreme frustration anger."
"Tell Tales","Reveal betray secrets."
"Temper Tantrum","Childish emotional outburst."
"Test Waters","Try cautiously first."
"Thank Stars","Express great relief."
"That's Rich","Ironic hypocritical statement."
"Them Bones","Underlying basic structure."
"Think Big","Ambitious large-scale vision."
"Think Long Hard","Careful deliberate consideration."
"Third Degree","Intense harsh questioning."
"Third Time Lucky","Success after failures."
"Thirty Thousand Feet","Strategic high-level view."
"This Day Age","Modern current times."
"Throw Curveball","Unexpected surprising tactic."
"Throw Hat Ring","Enter competition candidacy."
"Throw Towel","Quit give up."
"Throw Under Bus","Sacrifice betray ally."
"Thunder Steal","Take credit others."
"Tide Turn","Situation direction change."
"Tie Loose Ends","Complete unfinished business."
"Time Heals","Recovery gradual process."
"Time Sink","Unproductive time-consuming."
"Time Will Tell","Future reveal outcome."
"Tiptoe Around","Avoid confront sensitive."
"Tit for Tat","Retaliation equivalent response."
"To Boot","Additionally extra bonus."
"Today Man","Current trendy relevant."
"Too Many Cooks","Excessive interference confusion."
"Too Numerous Mention","Many various examples."
"Top Dog","Highest authority leader."
"Toss Salad","Mix combine various."
"Touch All Bases","Complete thorough coverage."
"Touchy Feudal","Sensitive easily offended."
"Tough Act Follow","Excellent hard succeed."
"Tough Nut Crack","Difficult persuade overcome."
"Tough Row Hoe","Difficult challenging task."
"Trail Blazer","Pioneer innovative leader."
"Train Wreck","Disastrous complete failure."
"Trial Fire","Difficult testing experience."
"Trial Error","Experimental learning process."
"Trick Pony","Limited single capability."
"Trip Wire","Hidden unexpected obstacle."
"Trojan Horse","Deceptive dangerous gift."
"Trouble Paradise","Unexpected problem good."
"True Blue","Loyal steadfast reliable."
"True Colors","Real genuine nature."
"True North","Fundamental core principle."
"Turn Blind Eye","Deliberate ignore pretend."
"Turn Cheek","Refuse retaliate forgive."
"Turn Tables","Reverse roles situation."
"Turncoats","Traitors change sides."
"Turtle Head","Excessive caution slow."
"Twist Arm","Force reluctant agreement."
"Twist Knife","Worsen inflict pain."
"Two Cents Worth","Opinion contribution."
"Two Peas Pod","Very similar alike."
"Two Sides Coin","Different perspectives same."
"Two Wrongs","Misdeed doesn't justify."
"Under Bus","Betrayed sacrificed ally."
"Under Thumb","Complete excessive control."
"Under Weather","Feeling ill unwell."
"Under Wing","Mentor protect guidance."
"Under Wraps","Secret confidential hidden."
"Uneasy Lies Head","Leadership responsibility."
"Up Creek Paddle","Difficult no solution."
"Up Hill Both Ways","Exaggerated difficult past."
"Up Soap Creek","Trouble difficult escape."
"Up Spout","Ruined failed completely."
"Use Loophole","Exploit legal ambiguity."
"Use Playbook","Follow proven strategy."
"Vanish Thin Air","Disappear completely gone."
"Vicarious Thrill","Excitement others experience."
"Virtue Necessity","Positive forced situation."
"Vulture Capitalist","Aggressive profit-driven."
"Wait Sidelines","Delay act observe."
