"Question","Reponse_Correcte","Choix_2","Choix_3","Choix_4","Categorie","Difficulte"
"Où la bataille décisive de l'indépendance haïtienne a-t-elle eu lieu ?","Vertières","Bois-Caïman","Cap-Haïtien","Crête-à-Pierrot","Histoire d'Haïti","potentiel"
"Qui était Henri Christophe ?","Roi du nord d'Haïti","Président d'Haïti","Général français","Chef des esclaves","Histoire d'Haïti","potentiel"
"Quelle citadelle fut construite par Henri Christophe ?","La Citadelle Laferrière","Le Fort Jacquemel","La Forteresse Cap","Le Fort Dessalines","Histoire d'Haïti","potentiel"
"Qui était Alexandre Pétion ?","Président d'Haïti du sud","Roi d'Haïti","Général français","Chef rebelle","Histoire d'Haïti","potentiel"
"En quelle année a eu lieu la cérémonie du Bois-Caïman ?","1791","1789","1800","1804","Histoire d'Haïti","potentiel"
"Quel vaudou a présidé la cérémonie du Bois-Caïman ?","Dutty Boukman","Toussaint Louverture","Jean-Jacques Dessalines","Biassou","Histoire d'Haïti","potentiel"
"Quelle est la deuxième ville d'Haïti ?","Cap-Haïtien","Les Cayes","Jacmel","Gonaïves","Histoire d'Haïti","potentiel"
"Haïti a-t-elle payé une dette à la France après l'indépendance ?","Oui 150 millions de francs","Non","Oui 50 millions","Oui 10 millions","Histoire d'Haïti","legende"
"Qui gouverna Haïti de 1957 à 1971 ?","François Duvalier Papa Doc","Jean-Claude Duvalier","Fignolé","Magloire","Histoire d'Haïti","legende"
"Quelle langue parlent les Haïtiens en plus du français ?","Le créole haïtien","L'espagnol","L'anglais","Le portugais","Histoire d'Haïti","debutant"
"Quel est l'arbre national d'Haïti ?","Le palmier royal","Le manguier","Le baobab","Le flamboyant","Histoire d'Haïti","potentiel"
"Quelle organisation haïtienne d'exil aida Simón Bolívar ?","Alexandre Pétion lui donna asile","Henri Christophe","Dessalines","Jean-Pierre Boyer","Histoire d'Haïti","superstar"
"En quelle année la Deuxième Guerre mondiale a-t-elle commencé ?","1939","1940","1938","1941","Histoire mondiale","debutant"
"Qui était Adolf Hitler ?","Dictateur nazi allemand","Général allemand","Président allemand","Roi de Prusse","Histoire mondiale","debutant"
"En quelle année l'homme a-t-il marché sur la Lune pour la première fois ?","1969","1965","1972","1967","Histoire mondiale","debutant"
"Qui était Nelson Mandela ?","Président anti-apartheid d'Afrique du Sud","Chef militaire","Médecin célèbre","Évêque","Histoire mondiale","debutant"
"Quelle muraille célèbre est en Chine ?","La Grande Muraille de Chine","La Muraille de Troie","Le Mur d'Hadrien","La Muraille des Dieux","Histoire mondiale","debutant"
"En quelle année Christophe Colomb a-t-il découvert l'Amérique ?","1492","1488","1500","1505","Histoire mondiale","debutant"
"Qui était Abraham Lincoln ?","16e président américain","Général américain","Fondateur des États-Unis","Chef indien","Histoire mondiale","debutant"
"Quelle est la plus ancienne civilisation connue ?","La Mésopotamie","L'Égypte","La Chine","L'Inde","Histoire mondiale","potentiel"
"En quelle année la Première Guerre mondiale a-t-elle commencé ?","1914","1910","1918","1916","Histoire mondiale","debutant"
"Qui était Jules César ?","Général et homme d'État romain","Roi de Rome","Philosophe grec","Pharaon égyptien","Histoire mondiale","debutant"
"En quelle année a eu lieu la chute du Mur de Berlin ?","1989","1991","1985","1987","Histoire mondiale","potentiel"
"Qui a inventé l'imprimerie ?","Johannes Gutenberg","Léonard de Vinci","Galilée","Newton","Histoire mondiale","potentiel"
"Quelle civilisation a construit Machu Picchu ?","Les Incas","Les Aztèques","Les Mayas","Les Olmèques","Histoire mondiale","potentiel"
"En quelle année les États-Unis ont-ils déclaré leur indépendance ?","1776","1788","1812","1763","Histoire mondiale","potentiel"
"Qui était Cléopâtre ?","Reine d'Égypte","Reine de Grèce","Impératrice romaine","Princesse perse","Histoire mondiale","potentiel"
"Quelle était la religion officielle de l'Empire romain sous Constantin ?","Le christianisme","Le paganisme","Le judaïsme","Le zoroastrisme","Histoire mondiale","potentiel"
"Qui a découvert la pénicilline ?","Alexander Fleming","Louis Pasteur","Marie Curie","Lavoisier","Histoire mondiale","potentiel"
"Quelle nation a été la première à envoyer un homme dans l'espace ?","L'URSS (Russie)","Les États-Unis","La France","La Chine","Histoire mondiale","potentiel"
"Qui était Gengis Khan ?","Fondateur de l'Empire mongol","Roi de Chine","Général persan","Roi des Huns","Histoire mondiale","legende"
"En quelle année l'Inde a-t-elle obtenu son indépendance ?","1947","1950","1945","1960","Histoire mondiale","legende"
"Qui était Simón Bolívar ?","Libérateur de l'Amérique du Sud","Président du Mexique","Général espagnol","Roi du Brésil","Histoire mondiale","legende"
"En quelle année l'Empire romain d'Occident a-t-il chuté ?","476","410","455","500","Histoire mondiale","legende"
"Quel accord mit fin à la guerre de Trente Ans ?","La Paix de Westphalie","Le Traité d'Utrecht","La Paix d'Augsbourg","Le Traité de Vienne","Histoire mondiale","legende"
"Qui était Marco Polo ?","Voyageur vénitien qui explora l'Asie","Navigateur espagnol","Explorateur anglais","Général génois","Histoire mondiale","legende"
"Quel pharaon régna pendant 66 ans en Égypte ?","Ramsès II","Toutankhamon","Akhenaton","Cléopâtre","Histoire mondiale","legende"
"Qui est l'auteur de L'Art de la Guerre ?","Sun Tzu","Confucius","Lao-Tseu","Mencius","Histoire mondiale","legende"
"Quelle est la capitale de l'ancien Empire aztèque ?","Tenochtitlan","Mexico","Cancún","Guadalajara","Histoire mondiale","legende"
"Qui a mené la première circumnavigation complète du globe ?","Magellan et Elcano","Christophe Colomb","Vasco de Gama","Jacques Cartier","Histoire mondiale","superstar"
"Quel traité mit fin à la guerre de Succession d'Espagne ?","Traité d'Utrecht 1713","Paix de Westphalie","Traité de Vienne","Paix de Paris","Histoire mondiale","superstar"
