"Terme","Definition"
"Customer risk rating","Notation risque client bas/moyen/haut."
"Geographic risk","Risque lié à juridiction du client."
"Product risk","Risque inhérent au type de produit financier."
"Channel risk","Risque selon canal de distribution utilisé."
"Enterprise-wide risk assessment","Évaluation globale risques institutionnels."
"Risk appetite","Niveau risque toléré par l'institution."
"Risk limits","Plafond d'exposition par type de risque."
"Escalation process","Remontée structurée risques critiques."
"Remediation plan","Actions correctives post-audit ou incident."
"Gap analysis","Écart entre état actuel et exigences."
"Root cause analysis","Identification causes profondes incidents."
"KPI","Indicateur clé performance conformité."
"SLA","Engagement délai traitement des alertes."
"RACI matrix","Matrice responsabilités et accountabilités."
"Whistleblowing","Signalement interne d'irrégularités graves."
"Code of conduct","Règles éthiques obligatoires personnel."
"Training program","Formation continue risques et conformité."
"Awareness campaign","Sensibilisation collective aux menaces."
"Third-party risk","Risque lié fournisseurs ou partenaires."
"Vendor due diligence","Audit approfondi prestataires externes."
"Data privacy","Protection légale données clients sensibles."
"GDPR compliance","Respect règlement européen protection données."
"Incident response","Gestion structurée événements sécurité."
"Forensic accounting","Expertise investigation fraudes comptables."
"Chain of custody","Traçabilité rigoureuse preuves enquête."
"Court-admissible evidence","Preuves recevables judiciairement."
"Statute of limitations","Délai légal poursuites judiciaires."
"Mitigating circumstances","Facteurs atténuants une faute reprochée."
"Aggravating factors","Éléments aggravants une infraction."
"Materiality threshold","Seuil signification pour reporting."
"Qualitative risk","Évaluation risque par expertise jugement."
"Quantitative risk","Mesure risque monétaire et probabiliste."
"Residual risk","Risque restant après contrôles appliqués."
"Inherent risk","Risque brut avant toute mitigation."
"Control effectiveness","Efficacité réelle mesures de contrôle."
"Key control","Contrôle critique gestion des risques."
"Control self-assessment","Auto-évaluation contrôles par opérationnels."
"SOX compliance","Normes contrôle interne reporting US."
"Internal control framework","Cadre structuré contrôles internes."
"Risk register","Base recensant exhaustivement tous risques."
"Board oversight","Supervision conseil administration risques."
